Target City,Total Weight (Tons)
REIMS,2294.0
RELY,315.0
REMAISNIL,280.0
REMILLY,46.0
RENESCURE,1026.0
RENNES,2804.0
REVIGNY SUR ORNAIN,863.0
RHONE VALLEY,166.0
RILLY LA MONTAGNE,754.0
RIVER ANDELLE,57.0
RIVERCOURT,20.0
ROLLEZ,187.0
ROMILLY SUR SEINE,2998.0
ROMORANTIN,909.0
RONS,144.0
ROSIERES,272.0
ROTONNEAU,129.0
ROUEN,5324.0
ROYAN,17906.0
ROYE,501.0
RUGLES,149.0
RUISSEAUVILLE,468.0
SAARBURG,284.0
SAAREGUEMINES,317.0
SABLE SUR SARTHE,834.0
SABLES,134.0
SAINGHIN,36.0
SAINT NICOLAS,18.0
SAINTES,550.0
SALBRIS,196.0
SALEUX,144.0
SALON,1924.0
SANGATTE,1129.0
SAUMUR,1025.0
SAUTRECOURT,370.0
SEDAN,36.0
SEINE INFERIEURE,136.0
SENONCHES,919.0
SENS,385.0
SERQUEUX,402.0
SERQUIGNY,186.0
SETE,3023.0
SIRACOURT,2275.0
SISTERON,120.0
SOISSONS,9.0
SOLESMES,38.0
SOLTEVAST,2081.0
SOMAIN,1938.0
SOMME,160.0
SOTTEVAST,316.0
ST ALBAN,120.0
ST ANDRE DE L EURE,2210.0
ST AUBIN,280.0
ST AVOLD,390.0
ST BRIEUC,28.0
ST CECILE,771.0
ST CECILY,615.0
ST CHISLAIN,542.0
ST CORNIER DES LAND,130.0
ST CYPRIEN,38.0
ST CYR,1145.0
ST DIZIER,2542.0
ST ESPRIT,74.0
ST ETIENNE,662.0
ST FLORENTIN,404.0
ST GEORGES SUR FONT,192.0
ST GERMAIN EN LAYE,24.0
ST GERVAIS,18.0
ST GILLES,284.0
ST GOBAIN,378.0
ST HILAIRE DU HARCO,296.0
ST JACQUES,513.0
ST JEAN,1278.0
ST JOSE AU BOIS,216.0
ST JOSSE,68.0
ST LEGER,75.0
ST LEU D ESSERENT,4808.0
ST LO,10123.0
ST LOUBES,158.0
ST LUBIN,246.0
ST MALO,1340.0
ST MANDRIER,132.0
ST MARIE,1034.0
ST MARTIN,849.0
ST MARTIN BELLEVUE,198.0
ST MARTIN D AUXIGNY,102.0
ST MARTIN D VARREV,914.0
ST MARTIN DE LA LIE,116.0
ST MARTIN DE VARREV,334.0
ST MARTIN DES BIEN,64.0
ST MARTIN L HORTIER,2009.0
ST MEDARD EN JALLES,380.0
ST NAZAIRE,6466.0
ST OMER,1833.0
ST PHILIBERT FERME,1308.0
ST PIERRE D ALBIGNY,151.0
